domain	DNS	Registrar	Reseller	DNS
trintagraus.com	2021-08-11T23:26:32	TUCOWS	UOL Host	bart.ns.cloudflare.com magdalena.ns.cloudflare.com
colucciagentes.com	2021-08-13T14:41:32	TUCOWS	UOL Host	duke.ns.cloudflare.com lila.ns.cloudflare.com
brumedimplantes.com	2021-08-13T14:41:36	TUCOWS	UOL Host	lynn.ns.cloudflare.com may.ns.cloudflare.com
hutchinsonextrema.com	2021-08-13T15:05:34	TUCOWS	UOL Host	annalise.ns.cloudflare.com colin.ns.cloudflare.com
graficaaternativa.com	2021-08-13T15:05:38	TUCOWS	UOL Host	ullis.ns.cloudflare.com rommy.ns.cloudflare.com
pprrepresentacoes.com	2021-08-13T15:05:41	TUCOWS	UOL Host	elma.ns.cloudflare.com benedict.ns.cloudflare.com
varejaodaqualidade.com	2021-08-13T15:05:48	TUCOWS	UOL Host	amber.ns.cloudflare.com morgan.ns.cloudflare.com
clinicamedicapieta.com	2021-08-15T20:46:02	TUCOWS	UOL Host	maleah.ns.cloudflare.com joel.ns.cloudflare.com
comerciolubrificantespecas.com	2021-08-15T20:46:20	TUCOWS	UOL Host	desi.ns.cloudflare.com keanu.ns.cloudflare.com
construtorabarroco.com	2021-08-15T20:46:42	TUCOWS	UOL Host	jerry.ns.cloudflare.com mckenzie.ns.cloudflare.com
cuidesaudecorpomente.com	2021-08-16T20:39:36	TUCOWS	UOL Host	raquel.ns.cloudflare.com newt.ns.cloudflare.com
capitalemconsorcio.com	2021-08-16T20:39:46	TUCOWS	UOL Host	ashton.ns.cloudflare.com phoenix.ns.cloudflare.com
baracatrestaurante.com	2021-08-16T20:40:01	TUCOWS	UOL Host	iris.ns.cloudflare.com kipp.ns.cloudflare.com
bijuteriasthelmakorte.com	2021-08-16T20:40:06	TUCOWS	UOL Host	lochlan.ns.cloudflare.com dee.ns.cloudflare.com
